"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://businessrocket.ai/","200","Business Rocket – Web Design & Digital Marketing Experts","Indexable",""
"https://businessrocket.ai/services/","200","Services Focused on Digital Marketing For Your Business -","Indexable",""
"https://businessrocket.ai/privacy-policy/","200","Privacy Policy -","Indexable",""
"https://businessrocket.ai/our-team/","200","Our Team | Business Rocket","Indexable",""
"https://businessrocket.ai/web-design-development/","200","Web Design & Development Company | Business Rocket","Indexable",""
"https://businessrocket.ai/wordpress-hosting-maintenance/","200","WordPress Hosting & Maintenance Services | Business Rocket","Indexable",""
"https://businessrocket.ai/blog/","200","Blog | Business Rocket","Indexable",""
"https://businessrocket.ai/paid-advertising/","200","Paid Advertising | Google Ads | Business Rocket","Indexable",""
"https://businessrocket.ai/brand-strategy","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/about-us/","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/seo-packages/","200","SEO Company | SEO Packages | Business Rocket","Indexable",""
"https://businessrocket.ai/web-design-development","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/my-account","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/work/","200","Client Work | Business Rocket","Indexable",""
"https://businessrocket.ai/social-media-marketing/","200","Social Media Marketing | SMM Services | Business Rocket","Indexable",""
"https://businessrocket.ai/our-team","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/contact/","200","Contact -","Indexable",""
"https://businessrocket.ai/blog","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/paid-advertising","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/my-account/","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/seo-packages","301","","Non-Indexable","Redirected"
"https://businessrocket.ai/brand-strategy/","200","Brand Strategy | Business Rocket","Indexable",""
"https://businessrocket.ai/?add-to-cart=2487","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3568","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3546","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2449","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3480","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2509","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2586","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3611","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3610","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3612","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3608","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2590","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/project-category/automotive-services/","200","Automotive Services Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project/certified-montessori-tutor/","200","Certified Montessori Tutor -","Non-Indexable","noindex"
"https://businessrocket.ai/project-category/contractors/","200","Contractors Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project/tlc-home-renovation/","200","TLC Home Renovation -","Non-Indexable","noindex"
"https://businessrocket.ai/project/rg-concrete/","200","RG Concrete -","Non-Indexable","noindex"
"https://businessrocket.ai/project-category/event-production/","200","Event Production Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project/calgary-cash-for-junk-cars/","200","Calgary Cash for Junk Cars -","Non-Indexable","noindex"
"https://businessrocket.ai/work/2/","200","Client Work | Business Rocket","Non-Indexable","Canonicalised"
"https://businessrocket.ai/?add-to-cart=2594","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3595","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3597","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3599","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2598","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/project/cnc-pipe-profiler/","200","CNC Pipe Profiler -","Non-Indexable","noindex"
"https://businessrocket.ai/?add-to-cart=3121","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/project/12-mile-event-production/","200","12 Mile Event Production -","Non-Indexable","noindex"
"https://businessrocket.ai/project-category/education/","200","Education Archives -","Non-Indexable","noindex"
