"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://businessrocket.ai/","text/html; charset=UTF-8","200","OK","Indexable","","3e3b6e71de3f4f73267de79a1ce07077","26","https://businessrocket.ai/","https://businessrocket.ai/"
"https://businessrocket.ai/wp-includes/js/mediaelement/wp-mediaelement.js?ver=6.9.1","application/javascript","200","OK","Indexable","","","82","","https://businessrocket.ai/wp-includes/js/mediaelement/wp-mediaelement.js?ver=6.9.1"
"https://businessrocket.ai/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=10.5.2","application/javascript","200","OK","Indexable","","","105","","https://businessrocket.ai/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=10.5.2"
"https://businessrocket.ai/wp-content/uploads/elementor/css/post-254.css?ver=1771437169","text/css","200","OK","Indexable","","","86","","https://businessrocket.ai/wp-content/uploads/elementor/css/post-254.css?ver=1771437169"
"https://businessrocket.ai/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-contact-form-7-83c32a029ed2cf5b6a82.js","application/javascript","200","OK","Indexable","","","144","","https://businessrocket.ai/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-contact-form-7-83c32a029ed2cf5b6a82.js"
"https://businessrocket.ai/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.css?ver=3.35.1","text/css","200","OK","Indexable","","","102","","https://businessrocket.ai/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.css?ver=3.35.1"
"https://businessrocket.ai/wp-content/plugins/wpc-buy-now-button/assets/js/frontend.js?ver=2.1.9","application/javascript","200","OK","Indexable","","","95","","https://businessrocket.ai/wp-content/plugins/wpc-buy-now-button/assets/js/frontend.js?ver=2.1.9"
"https://businessrocket.ai/wp-content/plugins/jeg-elementor-kit/assets/fonts/jkiticon/jkiticon.css?ver=3.0.3","text/css","200","OK","Indexable","","","107","","https://businessrocket.ai/wp-content/plugins/jeg-elementor-kit/assets/fonts/jkiticon/jkiticon.css?ver=3.0.3"
"https://businessrocket.ai/wp-content/plugins/woocommerce-product-bundles/assets/css/frontend/woocommerce.css?ver=7.1.0","text/css","200","OK","Indexable","","","118","","https://businessrocket.ai/wp-content/plugins/woocommerce-product-bundles/assets/css/frontend/woocommerce.css?ver=7.1.0"
"https://businessrocket.ai/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=4.6.3","text/css","200","OK","Indexable","","","122","","https://businessrocket.ai/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=4.6.3"
"https://businessrocket.ai/wp-content/uploads/2025/06/Alexaisjpg-04.jpg","image/jpeg","200","OK","Indexable","","","70","","https://businessrocket.ai/wp-content/uploads/2025/06/Alexaisjpg-04.jpg"
"https://businessrocket.ai/wp-content/plugins/woocommerce-subscriptions-pro/common/css/woocommerce-subscriptions-pro-common.css?ver=2.6.5","text/css","200","OK","Indexable","","","136","","https://businessrocket.ai/wp-content/plugins/woocommerce-subscriptions-pro/common/css/woocommerce-subscriptions-pro-common.css?ver=2.6.5"
"https://businessrocket.ai/wp-content/plugins/wc-product-table-lite/assets/multirange/css.min.css?ver=4.6.3","text/css","200","OK","Indexable","","","106","","https://businessrocket.ai/wp-content/plugins/wc-product-table-lite/assets/multirange/css.min.css?ver=4.6.3"
"https://businessrocket.ai/wp-content/uploads/2025/06/Alexaisjpg-01-1536x768-1.jpg","image/jpeg","200","OK","Indexable","","","81","","https://businessrocket.ai/wp-content/uploads/2025/06/Alexaisjpg-01-1536x768-1.jpg"
"https://businessrocket.ai/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","","90","","https://businessrocket.ai/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1.5"
"https://businessrocket.ai/wp-content/uploads/elementor/css/post-2616.css?ver=1771428152","text/css","200","OK","Indexable","","","87","","https://businessrocket.ai/wp-content/uploads/elementor/css/post-2616.css?ver=1771428152"
"https://businessrocket.ai/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=4.1.2","text/css","200","OK","Indexable","","","96","","https://businessrocket.ai/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=4.1.2"
"https://businessrocket.ai/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart-variation.min.js?ver=10.5.2","application/javascript","200","OK","Indexable","","","115","","https://businessrocket.ai/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart-variation.min.js?ver=10.5.2"
"https://businessrocket.ai/wp-content/plugins/woocommerce-subscriptions-pro/public/js/wps-public.min.js?ver=2.6.5","application/javascript","200","OK","Indexable","","","112","","https://businessrocket.ai/wp-content/plugins/woocommerce-subscriptions-pro/public/js/wps-public.min.js?ver=2.6.5"
"https://businessrocket.ai/wp-content/uploads/2025/03/Pink-Pumpking-Farm.webp","image/webp","200","OK","Indexable","","","76","","https://businessrocket.ai/wp-content/uploads/2025/03/Pink-Pumpking-Farm.webp"
"https://businessrocket.ai/wp-content/plugins/jeg-elementor-kit/assets/js/tiny-slider/tiny-slider.js?ver=2.9.3","application/javascript","200","OK","Indexable","","","109","","https://businessrocket.ai/wp-content/plugins/jeg-elementor-kit/assets/js/tiny-slider/tiny-slider.js?ver=2.9.3"
"https://businessrocket.ai/wp-includes/js/dist/hooks.js?ver=220ff17f5667d013d468","application/javascript","200","OK","Indexable","","","79","","https://businessrocket.ai/wp-includes/js/dist/hooks.js?ver=220ff17f5667d013d468"
"https://businessrocket.ai/services/","text/html; charset=UTF-8","200","OK","Indexable","","6caa0f1048e5e740da4116088a1820cc","35","https://businessrocket.ai/services/","https://businessrocket.ai/services/"
"https://businessrocket.ai/wp-content/plugins/jeg-elementor-kit/assets/js/elements/testimonials.js?ver=3.0.3","application/javascript","200","OK","Indexable","","","107","","https://businessrocket.ai/wp-content/plugins/jeg-elementor-kit/assets/js/elements/testimonials.js?ver=3.0.3"
"https://businessrocket.ai/privacy-policy/","text/html; charset=UTF-8","200","OK","Indexable","","7cfcf1084f655d4269917f6af81073e7","41","https://businessrocket.ai/privacy-policy/","https://businessrocket.ai/privacy-policy/"
"https://businessrocket.ai/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js?ver=3.35.5","application/javascript","200","OK","Indexable","","","104","","https://businessrocket.ai/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js?ver=3.35.5"
"https://businessrocket.ai/wp-includes/js/dist/i18n.js?ver=6b3ae5bd3b8d9598492d","application/javascript","200","OK","Indexable","","","78","","https://businessrocket.ai/wp-includes/js/dist/i18n.js?ver=6b3ae5bd3b8d9598492d"
"https://businessrocket.ai/wp-content/uploads/2025/02/2.png","image/png","200","OK","Indexable","","","58","","https://businessrocket.ai/wp-content/uploads/2025/02/2.png"
"https://businessrocket.ai/wp-content/uploads/elementor/css/post-2963.css?ver=1771428152","text/css","200","OK","Indexable","","","87","","https://businessrocket.ai/wp-content/uploads/elementor/css/post-2963.css?ver=1771428152"
"https://businessrocket.ai/wp-content/plugins/quick-buy-now-button-for-woocommerce/build/frontend.js?ver=1.1.0","application/javascript","200","OK","Indexable","","","109","","https://businessrocket.ai/wp-content/plugins/quick-buy-now-button-for-woocommerce/build/frontend.js?ver=1.1.0"
